ticker,audit_success_flag,expected_success_from_parquet,success_flag_match,download_error_class
AAPL,False,True,False,rate_limited
ADBE,False,True,False,rate_limited
AFRM,False,True,False,rate_limited
AMD,False,True,False,rate_limited
AMZN,False,True,False,rate_limited
ARKK,False,True,False,rate_limited
AVGO,False,True,False,rate_limited
CIBR,False,True,False,other_or_none
COIN,False,True,False,rate_limited
CRM,False,True,False,rate_limited
CRWD,False,True,False,rate_limited
DIA,False,True,False,rate_limited
GLD,False,True,False,rate_limited
GOOGL,False,True,False,rate_limited
IBB,False,True,False,other_or_none
IGV,False,True,False,rate_limited
INTC,False,True,False,other_or_none
IWM,False,True,False,rate_limited
LCID,False,True,False,rate_limited
META,False,True,False,rate_limited
MSFT,False,True,False,rate_limited
MSTR,False,True,False,other_or_none
MU,False,True,False,rate_limited
NET,False,True,False,rate_limited
NFLX,False,True,False,rate_limited
NOW,False,True,False,rate_limited
NVDA,False,True,False,rate_limited
ORCL,False,True,False,rate_limited
PANW,False,True,False,rate_limited
PLTR,False,True,False,rate_limited
QLD,False,True,False,rate_limited
QQQ,False,True,False,rate_limited
RIVN,False,True,False,rate_limited
ROKU,False,True,False,rate_limited
SHOP,False,True,False,rate_limited
SHY,False,True,False,rate_limited
SKYY,False,True,False,rate_limited
SMH,False,True,False,rate_limited
SNOW,False,True,False,other_or_none
SOXL,False,True,False,rate_limited
SOXX,False,True,False,rate_limited
SPY,False,True,False,rate_limited
SSO,False,True,False,rate_limited
TLT,False,True,False,rate_limited
TQQQ,False,True,False,rate_limited
TSLA,False,True,False,rate_limited
UBER,False,True,False,rate_limited
UPRO,False,True,False,rate_limited
UPST,False,True,False,rate_limited
XBI,False,True,False,rate_limited
XLK,False,True,False,rate_limited
