ticker,flag_type,source_status,exposure_in_p5_results,must_carry_to_future_search,evidence_file
AAPL,non_positive_volume,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
AMD,non_positive_volume,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
ARKK,non_positive_volume,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
IGV,non_positive_volume,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
INTC,non_positive_volume,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
SHOP,non_positive_volume,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
AAPL,large_daily_price_jump,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
AMD,large_daily_price_jump,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
MSTR,large_daily_price_jump,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
ROKU,large_daily_price_jump,excluded,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
SHOP,large_daily_price_jump,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
SOXL,large_daily_price_jump,eligible,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
UPST,large_daily_price_jump,excluded,NOT_EXECUTED_OR_NOT_AVAILABLE,True,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
