candidate_id,cost_bps,CAGR,MDD,Calmar,Sharpe
momentum_rank__p001,0,0.245434402113216,-0.9996766310134196,0.24551379365986328,1.0303630749895933
momentum_rank__p001,10,0.24459460316803994,-0.9996769604664417,0.24467364242736367,1.0299681623652273
momentum_rank__p001,25,0.2433353586801268,-0.9996774541986768,0.24341387080213783,1.0293756171811246
momentum_rank__p002,0,0.6731777575336866,-0.9642491152314473,0.698136764556019,1.0285482617566355
momentum_rank__p002,10,0.6725468027478387,-0.964252563596958,0.6974799218982968,1.0281822511720433
momentum_rank__p002,25,0.6716003073385044,-0.9642577361452239,0.6964946011460952,1.027632940196462
momentum_rank__p003,0,0.272136284287366,-0.9986453746548823,0.272505427045524,0.9971126852818912
momentum_rank__p003,10,0.271336847755999,-0.9986461555622583,0.27170469364419747,0.99671488669479
momentum_rank__p003,25,0.27013809824720525,-0.9986473263628262,0.2705040018792974,0.9961180144828755
momentum_rank__p004,0,0.6470507413703721,-0.9561873343641828,0.6766987159484065,1.0104516753212787
momentum_rank__p004,10,0.646421291962304,-0.9561956563695191,0.6760345413161931,1.010064275302066
momentum_rank__p004,25,0.6454771248617008,-0.9562081378979862,0.675038309421462,1.009482886616142
momentum_rank__p005,0,0.39021654192871646,-0.9960722910003473,0.39175524252042504,0.9626308415757157
momentum_rank__p005,10,0.3893672046623624,-0.9960754217286896,0.3909013275185682,0.9621952436979673
momentum_rank__p005,25,0.3880936611001762,-0.9960801143145245,0.3896209306088314,0.9615416488568266
momentum_rank__p006,0,0.5611256634151633,-0.9533944783060694,0.588555604404313,0.9524023275451567
momentum_rank__p006,10,0.5605425433150262,-0.9534228361648881,0.5879264918488738,0.9520081638348276
momentum_rank__p006,25,0.5596678898509932,-0.9534653495559346,0.586982935574588,0.9514166417878107
momentum_low_vol__p007,0,,-1.1834374224849793,,0.9648566865271079
momentum_low_vol__p007,10,,-1.1834374224849793,,0.9644682973694333
momentum_low_vol__p007,25,,-1.183437422484979,,0.9638855633897556
momentum_low_vol__p008,0,0.5713907795967741,-0.9678290300408549,0.5903840057087913,0.9746687349825454
momentum_low_vol__p008,10,0.570781996736466,-0.9678290300408549,0.589754986696743,0.9743053157102652
momentum_low_vol__p008,25,0.5698687531190261,-0.967829030040855,0.5888113865472399,0.9737599124813885
momentum_low_vol__p009,0,-0.23761560952665484,-0.9999544519185093,-0.23762643295478741,0.9590057920413977
momentum_low_vol__p009,10,-0.23818687216790546,-0.9999544873292335,-0.23819771318200283,0.9586091677970757
momentum_low_vol__p009,25,-0.23904342870559436,-0.9999545404066138,-0.2390542960166885,0.9580140675498157
momentum_low_vol__p010,0,0.5654173231229456,-0.9649382443910165,0.5859621860876567,0.9677942514705252
momentum_low_vol__p010,10,0.5648080894303513,-0.964941371431889,0.5853289185769135,0.9674234201762267
momentum_low_vol__p010,25,0.5638941732142326,-0.9649460619931974,0.5843789569434068,0.9668668933919069
momentum_low_vol__p011,0,-0.008285121032468146,-0.9994988824520619,-0.008289274933597055,0.9011424269676204
momentum_low_vol__p011,10,-0.008999769041326489,-0.9994990897656852,-0.009004279377019067,0.9007245981083111
momentum_low_vol__p011,25,-0.010071380599717572,-0.9994994006581105,-0.010076424851366766,0.9000976850675433
momentum_low_vol__p012,0,0.4959670411428492,-0.967829030040855,0.5124531562376393,0.9148213647774806
momentum_low_vol__p012,10,0.4953820287980635,-0.9678290300408549,0.511848697881228,0.9144348133470158
momentum_low_vol__p012,25,0.49450452906414477,-0.967829030040855,0.5109420297542328,0.9138547411812797
momentum_low_vol__p013,0,0.07715164958188248,-0.9991331737132914,0.07721858468090632,0.9068990408432496
momentum_low_vol__p013,10,0.07644587144562398,-0.9991333228374073,0.07651218280712303,0.9064943051076246
momentum_low_vol__p013,25,0.07538751874982785,-0.9991335465235813,0.0754528951731565,0.9058870199276375
momentum_low_vol__p014,0,0.5067288984418274,-0.9606757923918001,0.5274712889144646,0.9197882784919386
momentum_low_vol__p014,10,0.5061611220059583,-0.9606757923918001,0.5268802711742804,0.9194068404576861
momentum_low_vol__p014,25,0.5053094632808519,-0.9606757923918001,0.525993750735386,0.9188344270856055
momentum_liquidity_guard__p015,0,0.2813237181209567,-0.9986453746548823,0.28170532329174225,1.0034129909086213
momentum_liquidity_guard__p015,10,0.2805214966639724,-0.9986461555622583,0.28090179399532467,1.0030170054799914
momentum_liquidity_guard__p015,25,0.27931856799105037,-0.9986473263628262,0.2796969066230384,1.002422851809339
momentum_liquidity_guard__p016,0,0.6421569404844956,-0.9561873343641827,0.6715806802769441,1.0074507391055743
momentum_liquidity_guard__p016,10,0.6415276438135737,-0.9561956563695191,0.6709167099224483,1.0070624654866847
momentum_liquidity_guard__p016,25,0.6405837014009681,-0.9562081378979862,0.6699207798096666,1.0064797655603512
momentum_liquidity_guard__p017,0,0.39021654192871646,-0.9960722910003473,0.39175524252042504,0.9626308415757157
momentum_liquidity_guard__p017,10,0.3893672046623624,-0.9960754217286896,0.3909013275185682,0.9621952436979673
momentum_liquidity_guard__p017,25,0.3880936611001762,-0.9960801143145245,0.3896209306088314,0.9615416488568266
momentum_liquidity_guard__p018,0,0.5599285302636086,-0.9533944783060694,0.5872999508644668,0.9515911308886644
momentum_liquidity_guard__p018,10,0.5593455046214337,-0.9534228361648881,0.586670974728676,0.9511966903762682
momentum_liquidity_guard__p018,25,0.5584709931850609,-0.9534653495559346,0.5857276233951891,0.9506047536556991
