ticker,rows,volume_available_rate,zero_or_missing_volume_count,max_zero_or_missing_volume_run,low_volume_count_lt_100k,low_volume_rate_lt_100k,median_volume
AAPL,11438,0.9999125721279944,1,1,0,0.0,196924000.0
ADBE,10006,1.0,0,0,6,0.0005996402158704777,4818250.0
AFRM,1331,1.0,0,0,0,0.0,8334800.0
AMD,11626,0.9998279717873731,2,1,39,0.003354550146223981,8119000.0
AMZN,7286,1.0,0,0,0,0.0,97324000.0
ARKK,2891,0.9972327914216534,8,1,712,0.24628156347284677,1758100.0
AVGO,4210,1.0,0,0,0,0.0,21410000.0
CIBR,2722,1.0,0,0,563,0.2068332108743571,359050.0
COIN,1269,1.0,0,0,0,0.0,9299100.0
CRM,5500,1.0,0,0,0,0.0,5695650.0
CRWD,1732,1.0,0,0,0,0.0,3324500.0
DIA,7115,1.0,0,0,1,0.000140548137737175,4799200.0
GLD,5396,1.0,0,0,0,0.0,7963450.0
GOOGL,5460,1.0,0,0,0,0.0,51325600.0
IBB,6342,1.0,0,0,76,0.011983601387574897,2194900.0
IGV,6235,0.9988773055332799,7,1,497,0.07971130713712911,775500.0
INTC,11626,0.9999139858936865,1,1,0,0.0,45568600.0
IWM,6521,1.0,0,0,51,0.007820886367121607,29323500.0
LCID,1411,1.0,0,0,40,0.028348688873139617,3018040.0
META,3508,1.0,0,0,0,0.0,20779700.0
MSFT,10112,1.0,0,0,0,0.0,48550400.0
MSTR,7016,1.0,0,0,20,0.0028506271379703536,1473500.0
MU,10561,1.0,0,0,1,9.46880030300161e-05,12530100.0
NET,1667,1.0,0,0,0,0.0,3419000.0
NFLX,6024,1.0,0,0,0,0.0,90436500.0
NOW,3479,1.0,0,0,0,0.0,7035000.0
NVDA,6861,1.0,0,0,0,0.0,482472000.0
ORCL,10113,1.0,0,0,0,0.0,28975300.0
PANW,3465,1.0,0,0,0,0.0,6830400.0
PLTR,1403,1.0,0,0,0,0.0,47153100.0
QLD,4997,1.0,0,0,0,0.0,21608600.0
QQQ,6829,1.0,0,0,0,0.0,52448000.0
RIVN,1122,1.0,0,0,0,0.0,26850050.0
ROKU,2159,1.0,0,0,0,0.0,5511400.0
SHOP,2754,0.9996368917937546,1,1,0,0.0,12128550.0
SHY,5978,1.0,0,0,212,0.035463365674138506,1130850.0
SKYY,3728,1.0,0,0,1456,0.3905579399141631,135250.0
SMH,6516,1.0,0,0,0,0.0,9343200.0
SNOW,1413,1.0,0,0,0,0.0,4583100.0
SOXL,4061,1.0,0,0,0,0.0,15978000.0
SOXX,6237,1.0,0,0,337,0.0540323873657207,957300.0
SPY,8371,1.0,0,0,147,0.01756062597061283,63375000.0
SSO,4997,1.0,0,0,0,0.0,20086400.0
TLT,5978,1.0,0,0,61,0.01020408163265306,7149100.0
TQQQ,4080,1.0,0,0,0,0.0,138162000.0
TSLA,3985,1.0,0,0,0,0.0,81981000.0
UBER,1754,1.0,0,0,0,0.0,19671300.0
UPRO,4239,1.0,0,0,0,0.0,12500400.0
UPST,1349,1.0,0,0,0,0.0,5516900.0
XBI,5091,1.0,0,0,314,0.06167747004517776,3083600.0
XLK,6881,1.0,0,0,1,0.00014532771399505885,11923400.0
